File Name,Cell ID,Focal Slice,Focal Intensity,Threshold Intensity,Active Slices,Total Intensity,Total Background,Total Intensity Normal,Copy Number
20240320__w2dual-488-561-610-75.TIF,1,11,4739060.0,473905.9999999999,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15",17600804,2852463,16335566.219909124,22978.71180181337
20240320__w2dual-488-561-610-75.TIF,2,11,5618649.0,561864.8999999999,"6, 7, 8, 9, 10, 11, 12, 13, 14",19958614,2684034,19236094.06777899,27058.790361202686
20240320__w2dual-488-561-610-75.TIF,3,8,3832037.0,383203.6999999999,"5, 6, 7, 8, 9, 10, 11, 12",13396938,1933463,12741398.938920394,17922.9131226901
20240320__w2dual-488-561-610-75.TIF,4,9,4045829.0,404582.8999999999,"6, 7, 8, 9, 10, 11, 12, 13",14499340,2183452,13672280.40271901,19232.35392139402
20240320__w2dual-488-561-610-75.TIF,5,10,5366062.0,536606.1999999998,"6, 7, 8, 9, 10, 11, 12, 13",18928061,2478670,18329231.314903673,25783.135905055104
20240320__w2dual-488-561-610-75.TIF,6,9,5368714.0,536871.3999999999,"6, 7, 8, 9, 10, 11, 12",16051482,1992342,15685486.014896404,22064.26503713097
20240320__w2dual-488-561-610-75.TIF,7,9,6505163.0,650516.2999999998,"6, 7, 8, 9, 10, 11, 12",20603486,2547819,20146022.335372593,28338.756977595433
20240320_2_w2dual-488-561-610-75.TIF,1,10,4726028.0,472602.7999999999,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14",18652704,2871870,17507278.75147219,24626.921861685456
20240320_2_w2dual-488-561-610-75.TIF,2,8,4331641.0,433164.0999999999,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",17925251,2935434,16597376.865307162,23346.992355193644
20240320_2_w2dual-488-561-610-75.TIF,3,11,3508704.0,350870.3999999999,"6, 7, 8, 9, 10, 11, 12, 13, 14",12850534,1999402,12034416.426165031,16928.42372508796
20240320_2_w2dual-488-561-610-75.TIF,4,9,4806167.0,480616.6999999999,"5, 6, 7, 8, 9, 10, 11, 12, 13",16286698,2470044,15335131.752948018,21571.43304676891
20240320_1_w2dual-488-561-610-75.TIF,1,9,5666383.0,566638.2999999999,"6, 7, 8, 9, 10, 11, 12, 13",19843218,2820320,18928494.84580153,26626.100500494485
20240320_1_w2dual-488-561-610-75.TIF,2,10,6121960.0,612195.9999999999,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",23680611,3663600,22203655.439476553,31233.162806972225
20240320_1_w2dual-488-561-610-75.TIF,3,9,5359421.0,535942.0999999999,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14",22031985,3253559,20858347.780883316,29340.76210561727
20240320_1_w2dual-488-561-610-75.TIF,4,11,4251583.0,425158.29999999993,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",20123164,3823385,17949401.144365687,25248.841108968474
20240320_1_w2dual-488-561-610-75.TIF,5,10,4743829.0,474382.8999999999,"6, 7, 8, 9, 10, 11, 12, 13",16367709,2289912,15660329.860152673,22028.878689200552
20240320_1_w2dual-488-561-610-75.TIF,6,11,5628112.0,562811.1999999998,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",22265530,3435360,20888882.362195566,29383.714111964506
20240320_3_w2dual-488-561-610-75.TIF,1,12,6911262.0,691126.1999999998,"7, 8, 9, 10, 11, 12, 13, 14, 15",25761819,3457097,24838728.497066524,34939.834712430056
20240320_3_w2dual-488-561-610-75.TIF,2,10,6760288.0,676028.7999999998,"6, 7, 8, 9, 10, 11, 12, 13, 14",24470345,3288632,23587264.050192658,33179.44021689782
20240320_3_w2dual-488-561-610-75.TIF,3,10,3404864.0,340486.3999999999,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15",12927395,2171725,11898942.094783716,16737.85637190001
